Gi?i tính,Nam sinh,T?nh liên h?,Ngh? nghi?p,Ngành ngh?,M?c Luong,Tình tr?ng hôn nhân,T?nh
Nam,1988,T?nh Gia Lai,Chuyên viên,Hành chính - Van phòng,0,,3
Nam,1992,,Chuyên viên,Hành chính - Van phòng,4259000,,#N/A
Nam,1990,,Chuyên viên,Hành chính - Van phòng,0,,#N/A
Nam,1977,,Chuyên viên,Hành chính - Van phòng,5506600,,#N/A
Nam,1990,T?nh B?c Ninh,Chuyên viên,Hành chính - Van phòng,0,,1
Nam,1984,T?nh Hòa Bình,Chuyên viên,Hành chính - Van phòng,0,,1
Nam,1991,T?nh H?i Duong,Chuyên viên,Hành chính - Van phòng,0,,1
Nam,1977,,Chuyên viên,Hành chính - Van phòng,0,,#N/A
Nam,1990,T?nh Thái Bình,Chuyên viên,Hành chính - Van phòng,0,,1
Nam,1983,,Chuyên viên,Hành chính - Van phòng,0,,#N/A
N?,1987,,Chuyên viên,Hành chính - Van phòng,12477500,,#N/A
Nam,1983,,Chuyên viên,Hành chính - Van phòng,10920000,,#N/A
Nam,1977,T?nh Vinh Long,Chuyên Viên,Hành chính - Van phòng,0,,3
Nam,1989,T?nh Hòa Bình,Chuyên viên,Hành chính - Van phòng,5556600,,1
Nam,1996,Thành ph? Hà N?i,Chuyên viên,Hành chính - Van phòng,5000000,,1
Nam,1995,,Chuyên viên,Hành chính - Van phòng,0,,#N/A
Nam,1987,,Chuyên viên,Hành chính - Van phòng,4740000,,#N/A
Nam,1986,T?nh H?i Duong,Chuyên viên,Hành chính - Van phòng,4860000,,1
Nam,1990,,Chuyên Viên,Hành chính - Van phòng,0,,#N/A
N?,1999,Thành ph? Hà N?i,Chuyên viên,Hành chính - Van phòng,4730000,,1
Nam,1982,Thành ph? Hà N?i,Chuyên viên,Hành chính - Van phòng,0,,1
Nam,1993,T?nh Qu?ng Tr?,Chuyên viên,Hành chính - Van phòng,4730000,,2
Nam,1999,T?nh Ð?ng Nai,Chuyên Viên  B? Ph?n D?p,Hành chính - Van phòng,7428000,,3
Nam,1993,T?nh Thái Bình,Chuyên viên - Sinh qu?n ??,Hành chính - Van phòng,4920000,,1
Nam,1993,,Chuyên viên 1 Bán s?n ph?m cho vay mua ô tô,Hành chính - Van phòng,4729400,,#N/A
Nam,1981,T?nh Cao B?ng,"Chuyên viên b?c 5/9, Bí thu Ð?ng ?y",Chính tr? - Nhà nu?c,0,,1
N?,1995,T?nh B?n Tre,Chuyên viên bán hàng,D?ch v?,5693000,,3
N?,1997,T?nh Bình Phu?c,Chuyên Viên Bán Hàng - Huy?n Chon Thành - Bình Phu?c - V2,D?ch v?,4200000,,3
Nam,1991,T?nh Ninh Bình,Chuyên viên b? ph?n IT,Công ngh? thông tin,4484000,,1
Nam,1989,,Chuyên viên cao c?p Quan h? khách hàng Doanh nghi?p - B?c 1 (RM),D?ch v?,6900000,,#N/A
Nam,1992,Thành ph? Hà N?i,Chuyên viên Cham sóc khách hàng,D?ch v?,7992729,,1
N?,1978,,Chuyên viên chính Ban Tài chính k? toán,K? toán - Ki?m toán,7894000,,#N/A
Nam,1985,T?nh Phú Th?,Chuyên viên Ð?a chính - Nông nghi?p - Xây d?ng và môi tru?ng,Khoa h?c k? thu?t,0,,1
Nam,1993,T?nh Ð?ng Nai,"Chuyên viên D?ch v? tín d?ng,TP BIÊN HÒA - Ð?NG NAI-Vùng 01",Tài chính ngân hàng,5200000,,3
Nam,1985,T?nh Qu?ng Ninh,"Chuyên viên I Quan h? khách hàng - Làm vi?c t?i Qu?ng Ninh, Vùng 2",D?ch v?,3560000,,1
Nam,1993,T?nh L?ng Son,Chuyên viên khách hàng Cá nhân,D?ch v?,5945000,,1
Nam,1988,T?nh H?i Duong,Chuyên viên KHCN,Hành chính - Van phòng,5128000,,1
Nam,1996,T?nh Thanh Hóa,Chuyên viên ki?m soát ch?t lu?ng,Hành chính - Van phòng,4020000,,2
Nam,1993,Thành ph? Hà N?i,Chuyên viên kinh doanh,Kinh doanh,4800000,,1
Nam,1990,T?nh Thái Nguyên,Chuyên viên kinh doanh,Kinh doanh,5000000,,1
Nam,1995,Thành ph? Hà N?i,Chuyên viên Kinh doanh,Kinh doanh,4730000,,1
Nam,2001,Thành ph? H? Chí Minh,Chuyên viên Kinh doanh,Kinh doanh,4730000,,3
N?,1994,T?nh Vinh Phúc,Chuyên viên kinh doanh,Kinh doanh,3969700,,1
Nam,1994,Thành ph? Hà N?i,Chuyên viên kinh doanh,Kinh doanh,4730000,,1
Nam,1998,T?nh Qu?ng Tr?,Chuyên viên phân tích nghi?p v?,Hành chính - Van phòng,6000000,,2
Nam,1991,T?nh Khánh Hòa,Chuyên viên pháp ch?,Lu?t,4200000,,2
Nam,1992,,"Chuyên viên phê duy?t th?,QU?N 1 - TP.HCM-Vùng 01",Hành chính - Van phòng,5370000,,#N/A
Nam,1979,,Chuyên viên phòng D?ch v? khách hàng t? ch?c 1,D?ch v?,9570000,,#N/A
Nam,1984,,Chuyên viên Phòng HC-TC-QT,Hành chính - Van phòng,0,,#N/A
Nam,1974,T?nh Tuyên Quang,Chuyên viên Phòng Thanh tra b?o v? pháp ch? - Công ty Ði?n l?c Tuyên Quang,Chính tr? - Nhà nu?c,12402000,,1
Nam,1993,,Chuyên viên QHKH,Hành chính - Van phòng,12700000,,#N/A
N?,1996,T?nh Phú Th?,Chuyên viên Quan h? khách hàng cá nhân c?p 1,D?ch v?,4750000,,1
Nam,1995,Thành ph? H?i Phòng,Chuyên viên Quan h? khách hàng doanh nghi?p (RO),D?ch v?,5632000,,1
N?,1995,Thành ph? H? Chí Minh,Chuyên viên Quan h? Khách hàng Doanh nghi?p v?a và nh?,D?ch v?,5500000,,3
Nam,1993,T?nh H?i Duong,Chuyên viên Qu?n lý Tài chính và K? ho?ch,Tài chính ngân hàng,7800000,,1
Nam,1992,T?nh Thanh Hóa,Chuyên viên Th?m d?nh tài s?n,Hành chính - Van phòng,9000000,,2
Nam,1997,T?nh Phú Th?,"Chuyên viên Thí nghi?m thi?t b? di?n, thí nghi?m di?n cao áp.",Hành chính - Van phòng,7049000,,1
Nam,1988,T?nh Tây Ninh,Chuyên viên Thu h?i n? hi?n tru?ng,Tài chính ngân hàng,6960000,,1
N?,2000,Thành ph? H? Chí Minh,Chuyên viên thu h?i n? khó qua di?n tho?i,Tài chính ngân hàng,4730000,,3
N?,1995,Thành ph? H? Chí Minh,Chuyên viên Thu h?i n? qua di?n tho?i Cho vay có TSBÐ,Tài chính ngân hàng,10000000,,3
Nam,1984,,Chuyên Viên -trung Tâm tài chính k? toán,K? toán - Ki?m toán,0,,#N/A
Nam,1996,T?nh Ninh Bình,Chuyên viên Tu v?n bán hàng,D?ch v?,4729400,,1
Nam,1995,Thành ph? H? Chí Minh,Chuyên viên Tu v?n th? h?i viên,Hành chính - Van phòng,6000000,,3
Nam,1993,T?nh Phú Th?,Chuyên viên tuy?n sinh,Hành chính - Van phòng,4200000,,1
Nam,1998,T?nh Bình Thu?n,Chuyên viên Tuy?n sinh,Hành chính - Van phòng,4800000,,2
Nam,1997,T?nh Th?a Thiên Hu?,Chuyên viên van phòng,Hành chính - Van phòng,0,,2
Nam,1991,Thành ph? H? Chí Minh,Chuyên viên X? lý N? hi?n tru?ng,Tài chính ngân hàng,4730000,,3
Nam,1994,Thành ph? H? Chí Minh,Chuyên viên X? lý N? hi?n tru?ng,Tài chính ngân hàng,4730000,,3
Nam,1992,,"Chuyên viên, k? su",Khoa h?c k? thu?t,3981000,,#N/A
Nam,1981,,"Chuyên viên, Phó tru?ng phòng",Ch?c v? cao,0,,#N/A
Nam,1993,Thành ph? Hà N?i,"Chuyên viên, phòng TCHC - Công ty D?ch v? Ði?n l?c mi?n B?c",Du l?ch-Khách s?n,7049000,,1
N?,1998,T?nh Qu?ng Nam,CM 01,Khác,3853605,Ðã k?t hôn,2
N?,1987,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,6550500,Ðã k?t hôn,3
Nam,2000,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5250000,,3
Nam,1984,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5000000,,3
Nam,2001,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5000000,,3
Nam,1997,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5773000,,3
Nam,1996,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5000000,,3
Nam,1999,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5000000,,3
Nam,1998,T?nh Bình Phu?c,CN,Công nghi?p và s?n xu?t,5000000,,3
Nam,1992,,CN b?n ?c l?p kính - LR2,Công nghi?p và s?n xu?t,7542597,,#N/A
Nam,1991,T?nh Thái Bình,CN BP Ð.gói 1,Công nghi?p và s?n xu?t,3353000,,1
Nam,2001,T?nh Vinh Long,"Cn c?t phá, c?t g?t (may công nghi?p)",Công nghi?p và s?n xu?t,5015870,,3
Nam,1990,T?nh B?n Tre,CN co khí TT SX làm vi?c theo ch? d? 3 ca,Công nghi?p và s?n xu?t,6149000,,3
N?,1988,T?nh Vinh Phúc,CN dóng gói,Công nghi?p và s?n xu?t,3778000,Ðã k?t hôn,1
Nam,1999,T?nh Ð?k Nông,CN ép MEX,Công nghi?p và s?n xu?t,4697400,,3
N?,1997,Thành ph? H? Chí Minh,CN g?p SP,Công nghi?p và s?n xu?t,4966000,,3
Nam,1992,Thành ph? Hà N?i,CN khai thác,Công nghi?p và s?n xu?t,4994600,,1
Nam,1995,T?nh Bình Phu?c,CN Khai thác NT Tân Thành - NT Tân Thành,Công nghi?p và s?n xu?t,4900000,,3
Nam,1999,T?nh Bình Ð?nh,CN ki?m g?p trong dây chuy?n may,Công nghi?p và s?n xu?t,5149709,,2
Nam,1994,T?nh B?c Giang,CN Lái máy Lu,Giao thông v?n t?i,4471500,,1
N?,1995,T?nh Ð?ng Nai,"CN l?ng, KP5, P.Xuân Hoà, TX.Long Khánh, Ð?ng Nai",Công nghi?p và s?n xu?t,4472000,,3
Nam,1996,T?nh Bình Phu?c,CN may,Công nghi?p và s?n xu?t,4730000,Ðã k?t hôn,3
Nam,1987,,CN May,Công nghi?p và s?n xu?t,1508000,,#N/A
N?,1989,,CN MAY,Công nghi?p và s?n xu?t,3605300,,#N/A
N?,1983,T?nh Sóc Trang,CN may,Công nghi?p và s?n xu?t,4730000,,3
Nam,1993,,CN Pha keo,Công nghi?p và s?n xu?t,4048000,,#N/A
N?,1999,,CN Ph?t Keo Ð? Và Mu Giày,Công nghi?p và s?n xu?t,5361000,,#N/A
Nam,2002,T?nh Ti?n Giang,CN ph? vi?c,Công nghi?p và s?n xu?t,4447000,,3
Nam,1999,Thành ph? H? Chí Minh,CN QA,Công nghi?p và s?n xu?t,4730000,,3
Nam,1991,,CN S?n xu?t,Công nghi?p và s?n xu?t,7255000,,#N/A
Nam,1984,,CN s?n xu?t,Công nghi?p và s?n xu?t,0,,#N/A
Nam,2002,T?nh Khánh Hòa,CN Siêu - PHÂN XU?NG 5,Công nghi?p và s?n xu?t,3950000,,2
Nam,1986,T?nh Ti?n Giang,"CN Son, in da và pha ch? d? son, in da",Công nghi?p và s?n xu?t,5499000,,3
Nam,1999,T?nh B?c Giang,CN SX,Công nghi?p và s?n xu?t,4070000,,1
Nam,2000,T?nh An Giang,CN Thao Tác,Công nghi?p và s?n xu?t,4060000,,3
N?,1991,T?nh An Giang,CN thao tác,Công nghi?p và s?n xu?t,4253000,,3
Nam,1997,T?nh An Giang,CN Thay Khuôn,Công nghi?p và s?n xu?t,4301000,,3
Nam,2000,T?nh Trà Vinh,CN Trãi V?i,Công nghi?p và s?n xu?t,3449145,,3
Nam,1964,T?nh Tuyên Quang,CN tr?ng r?ng và khai thác Ð?i 731,Nông-Lâm-Ngu nghi?p,4360200,,1
Nam,1994,T?nh H?i Duong,CN tr?c máy bó,Công nghi?p và s?n xu?t,3910200,,1
Nam,1995,T?nh Bà R?a - Vung Tàu,CN V?n hành máy,Công nghi?p và s?n xu?t,6096000,,3
Nam,2002,T?nh An Giang,CN v?n hành máy may,Công nghi?p và s?n xu?t,3855000,,3
N?,2001,T?nh Trà Vinh,CN V?n Hành Máy May CN,Công nghi?p và s?n xu?t,5166000,,3
